Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio,prefix,patient,capture,sequencer,depth
INDEL,ALL,399,346,53,765,88,317,13,14,0.867168,0.803571,0.414379,0.834159,,,1.8345323741007193,3.1988950276243093,HG002_novaseq_idt_75x.haplotypecaller,HG002,idt,novaseq,75
INDEL,PASS,399,346,53,765,88,317,13,14,0.867168,0.803571,0.414379,0.834159,,,1.8345323741007193,3.1988950276243093,HG002_novaseq_idt_75x.haplotypecaller,HG002,idt,novaseq,75
SNP,ALL,20853,20083,770,23909,733,3109,58,59,0.963075,0.96476,0.130035,0.963917,3.0348095146006577,2.8375300721732155,1.6357197065519857,1.8706575309532396,HG002_novaseq_idt_75x.haplotypecaller,HG002,idt,novaseq,75
SNP,PASS,20853,20083,770,23909,733,3109,58,59,0.963075,0.96476,0.130035,0.963917,3.0348095146006577,2.8375300721732155,1.6357197065519857,1.8706575309532396,HG002_novaseq_idt_75x.haplotypecaller,HG002,idt,novaseq,75
INDEL,ALL,1993,1718,275,3464,636,1065,125,78,0.862017,0.73489,0.307448,0.793393,,,1.5435356200527703,3.220024721878863,HG002_novaseq_truseq_50x.haplotypecaller,HG002,truseq,novaseq,50
INDEL,PASS,1993,1718,275,3464,636,1065,125,78,0.862017,0.73489,0.307448,0.793393,,,1.5435356200527703,3.220024721878863,HG002_novaseq_truseq_50x.haplotypecaller,HG002,truseq,novaseq,50
SNP,ALL,31187,30047,1140,35912,1428,4451,142,86,0.963446,0.95461,0.123942,0.959008,2.76481235670327,2.6326592517694642,1.6196839805009244,1.797568009977395,HG002_novaseq_truseq_50x.haplotypecaller,HG002,truseq,novaseq,50
SNP,PASS,31187,30047,1140,35912,1428,4451,142,86,0.963446,0.95461,0.123942,0.959008,2.76481235670327,2.6326592517694642,1.6196839805009244,1.797568009977395,HG002_novaseq_truseq_50x.haplotypecaller,HG002,truseq,novaseq,50
INDEL,ALL,1993,1746,247,3545,639,1112,122,82,0.876066,0.737361,0.313681,0.800752,,,1.5435356200527703,3.253968253968254,HG002_novaseq_truseq_75x.haplotypecaller,HG002,truseq,novaseq,75
INDEL,PASS,1993,1746,247,3545,639,1112,122,82,0.876066,0.737361,0.313681,0.800752,,,1.5435356200527703,3.253968253968254,HG002_novaseq_truseq_75x.haplotypecaller,HG002,truseq,novaseq,75
SNP,ALL,31187,30193,994,35964,1331,4456,116,86,0.968128,0.957757,0.123902,0.962914,2.76481235670327,2.626915322580645,1.6196839805009244,1.8006701472765527,HG002_novaseq_truseq_75x.haplotypecaller,HG002,truseq,novaseq,75
SNP,PASS,31187,30193,994,35964,1331,4456,116,86,0.968128,0.957757,0.123902,0.962914,2.76481235670327,2.626915322580645,1.6196839805009244,1.8006701472765527,HG002_novaseq_truseq_75x.haplotypecaller,HG002,truseq,novaseq,75
INDEL,ALL,570,504,66,894,71,312,15,10,0.884211,0.878007,0.348993,0.881098,,,1.7738693467336684,2.221014492753623,HG003_hiseq4000_agilent_50x.haplotypecaller,HG003,agilent,hiseq4000,50
INDEL,PASS,570,504,66,894,71,312,15,10,0.884211,0.878007,0.348993,0.881098,,,1.7738693467336684,2.221014492753623,HG003_hiseq4000_agilent_50x.haplotypecaller,HG003,agilent,hiseq4000,50
SNP,ALL,22580,21833,747,26155,756,3566,92,89,0.966918,0.966532,0.136341,0.966725,2.975356451328991,2.8038388832339685,1.603899850005769,1.8290413330447954,HG003_hiseq4000_agilent_50x.haplotypecaller,HG003,agilent,hiseq4000,50
SNP,PASS,22580,21833,747,26155,756,3566,92,89,0.966918,0.966532,0.136341,0.966725,2.975356451328991,2.8038388832339685,1.603899850005769,1.8290413330447954,HG003_hiseq4000_agilent_50x.haplotypecaller,HG003,agilent,hiseq4000,50
INDEL,ALL,382,330,52,697,75,285,14,10,0.863874,0.817961,0.408895,0.840291,,,1.7028985507246377,2.642105263157895,HG003_hiseq4000_idt_50x.haplotypecaller,HG003,idt,hiseq4000,50
INDEL,PASS,382,330,52,697,75,285,14,10,0.863874,0.817961,0.408895,0.840291,,,1.7028985507246377,2.642105263157895,HG003_hiseq4000_idt_50x.haplotypecaller,HG003,idt,hiseq4000,50
